"record_id","registration","normalized_registration","vehicle_make_as_stored","vehicle_model","vehicle_year","chassis_number","operational_vehicle_type_if_matched","proposed_asset_category","exists_in_shared_vehicle_master","exists_in_drivers","exists_in_fuel_logs","exists_in_weekly_mileage","exists_in_maintenance","exists_in_trip_journey","exists_in_booking_diary","relationship_classification"
"5428b1a4-abf3-4ba1-afaa-269bffd5da19","3ฒน-9565","3ฒน9565","Toyota Hilux Revo",,"2018","MR0EB8CB900881388","FOUR_WHEEL_TRUCK","Pickup","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"d5f1a76c-0086-4e5e-a6fa-166c62760dec","4กข-98","4กข98","BMW 630d GT",,"2020","WBAJW62090BN81423",,"Passenger Car","No","No","No","No","No","No","No","C. Passenger/personal/company car"
"b9847050-101a-41e2-ba2c-9fc7680e5d7a","4ฒล-4565","4ฒล4565","TOYOTA Hilux Revo",,"2023","MROCC8CB900854020",,"Pickup","No","No","No","No","No","No","No","D. Insurance-only fleet asset"
"87181d28-75a0-430e-b5df-0a7d363063f7","61-2835","612835","HINO",,"2013","FG8JRLA14275","SIX_WHEEL_TRUCK","6-Wheel Truck","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle"
"78f25f78-b86e-4361-8eab-2c5f8368dc66","61-2836","612836","HINO",,"2013","JC4001555",,"Other Commercial Vehicle","No","No","No","No","No","No","No","D. Insurance-only fleet asset"
"fe37ccb0-9996-4ae4-b725-e67738f4cfc2","61-6672","616672","HINO",,"2014","FG8JRLA14590","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"eb5cc8bf-6f22-4b15-9d01-35f8277161e8","62-1085","621085","HINO",,"2014","FC9JLLA14289","SIX_WHEEL_TRUCK","6-Wheel Truck","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"14893f62-e1c5-4dc9-85b9-5529673456b4","62-4337","624337","HINO",,"2015","FG8JRLA15155","SIX_WHEEL_TRUCK","6-Wheel Truck","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle"
"181fc251-ef1c-4227-8dea-9a30633cfa39","63-0096","630096","พ่วง / Trailer",,"2011","SSK1000209",,"Trailer","No","No","No","No","No","No","No","B. Trailer / non-driver asset"
"4699bd8a-26f8-488c-a0e2-68ce904938ad","63-3543","633543","HINO",,"1997","FN274B20195","EIGHTEEN_WHEELER","Other Commercial Vehicle","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle"
