"document_id","insurance_record_id","registration","document_type","document_role","storage_bucket","storage_path","original_file_name","mime_type","file_size_bytes","database_reference_exists","associated_insurance_record_exists","storage_object_resolves","appears_orphaned","uploaded_by","created_at","updated_at"
"eb041e43-7bc0-4f44-9659-399456d1fdc4","14893f62-e1c5-4dc9-85b9-5529673456b4","62-4337","insurance","Main insurance","insurance-documents","14893f62-e1c5-4dc9-85b9-5529673456b4/insurance/1789961903719-62-4337-Main-Insurance.pdf","62-4337 Main Insurance.pdf","application/pdf","1766046","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T10:38:21.9083070+07:00","2026-09-21T10:38:25.2320000+07:00"
"10bb6730-9642-4fdb-8257-34ea64838cbc","181fc251-ef1c-4227-8dea-9a30633cfa39","63-0096","insurance","Main insurance","insurance-documents","181fc251-ef1c-4227-8dea-9a30633cfa39/insurance/1789961095567-63-0096-Main-Insurance.pdf","63-0096 Main Insurance.pdf","application/pdf","1294661","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T10:24:53.3774280+07:00","2026-09-21T10:24:56.9010000+07:00"
"62466db4-b6a3-4399-ab13-ed047277c6aa","231b1315-1d96-434b-9ee4-1c7c59a49eb2","64-8665","insurance","Main insurance","insurance-documents","231b1315-1d96-434b-9ee4-1c7c59a49eb2/insurance/1789966232350-64-8665-Main-Insurance-.pdf","64-8665 Main Insurance .pdf","application/pdf","1765537","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T11:50:30.4339580+07:00","2026-09-21T11:50:33.8670000+07:00"
"68d7fd60-a33c-4934-822c-8df90ac44875","320d62c9-b598-49ec-bc9e-1c707bc7e4f7","65-6991","compulsory","Compulsory insurance","insurance-documents","320d62c9-b598-49ec-bc9e-1c707bc7e4f7/compulsory/1789967478269-65-6991-Compulsory-.pdf","65-6991 Compulsory .pdf","application/pdf","501534","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T12:11:15.6788220+07:00","2026-09-21T12:11:19.0830000+07:00"
"c4ba530a-0cf3-4b87-8e2f-957b309d0640","320d62c9-b598-49ec-bc9e-1c707bc7e4f7","65-6991","insurance","Main insurance","insurance-documents","320d62c9-b598-49ec-bc9e-1c707bc7e4f7/insurance/1789967470397-65-6991-Main.pdf","65-6991 Main.pdf","application/pdf","1371018","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T12:11:08.8800910+07:00","2026-09-21T12:11:12.2780000+07:00"
"5caffb4d-c7e6-46a9-a18b-31e2be62a31c","38330b8f-3092-41ab-97f4-d567e542ae71","79-2945","insurance","Main insurance","insurance-documents","38330b8f-3092-41ab-97f4-d567e542ae71/insurance/1789967859382-79-2945-Main.pdf","79-2945 Main.pdf","application/pdf","1130434","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T12:17:37.2285810+07:00","2026-09-21T12:17:40.5760000+07:00"
"77cb5407-70ea-4f90-8acf-690d6b4e5439","3dcff5e7-b1d9-4e2d-817e-e28be13ce350","74-8969","insurance","Main insurance","insurance-documents","3dcff5e7-b1d9-4e2d-817e-e28be13ce350/insurance/1789969099705-74-8969-Main.pdf","74-8969 Main.pdf","application/pdf","1300312","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T12:38:17.7715780+07:00","2026-09-21T12:38:21.0970000+07:00"
"7a348269-f402-4f2f-8f79-8c83274fdb41","4699bd8a-26f8-488c-a0e2-68ce904938ad","63-3543","insurance","Main insurance","insurance-documents","4699bd8a-26f8-488c-a0e2-68ce904938ad/insurance/1789970019757-63-3543-Main.pdf","63-3543 Main.pdf","application/pdf","1019426","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T12:53:37.9684350+07:00","2026-09-21T12:53:41.2770000+07:00"
"e19db975-d9be-44f8-a061-cd0551be8747","5428b1a4-abf3-4ba1-afaa-269bffd5da19","3ฒน-9565","insurance","Main insurance","insurance-documents","5428b1a4-abf3-4ba1-afaa-269bffd5da19/insurance/1789983673468-9565-Main.pdf","9565 Main.pdf","application/pdf","1765234","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T16:41:12.5372210+07:00","2026-09-21T16:41:15.5240000+07:00"
"f3e3b247-9333-4f0b-a72f-189f86da40b6","710eb2f1-08db-4819-ba05-51bd987ff481","700-4145","insurance","Main insurance","insurance-documents","710eb2f1-08db-4819-ba05-51bd987ff481/insurance/1789969613301-700-4145-Main.pdf","700-4145 Main.pdf","application/pdf","1191624","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T12:46:51.6743320+07:00","2026-09-21T12:46:54.9990000+07:00"
