"record_id","registration","normalized_registration","vehicle_make_as_stored","vehicle_model","vehicle_year","chassis_number","operational_vehicle_type_if_matched","proposed_asset_category","ownership_holder","insurer_th","insurer_en","policy_number","insurance_class","policy_issue_date","insurance_start_date","insurance_expiry_date","insurance_status","insured_value","repair_type","compulsory_included","compulsory_policy_number","compulsory_policy_issue_date","compulsory_start_date","compulsory_expiry_date","registration_date","registration_expiry_date","laos_expiry_date","insurance_premium","compulsory_insurance_cost","vehicle_tax","additional_premium","total_recorded_cost","main_document_present","compulsory_document_present","verification_status","review_status","insurance_linked_vehicle_id","candidate_operational_vehicle_id_by_registration","exists_in_shared_vehicle_master","exists_in_drivers","exists_in_fuel_logs","exists_in_weekly_mileage","exists_in_maintenance","exists_in_trip_journey","exists_in_booking_diary","relationship_classification","source","source_row","import_review_notes","notes","created_at","updated_at"
"5428b1a4-abf3-4ba1-afaa-269bffd5da19","3ฒน-9565","3ฒน9565","Toyota Hilux Revo",,"2018","MR0EB8CB900881388","FOUR_WHEEL_TRUCK","Pickup","Sender","โตเกียวมารีน","Tokio Marine Safety Insurance (Thailand) PCL","DW-70-69/008020","Type 1 / ชั้น 1","2026-06-19","2026-07-30","2027-07-30","active",,"Garage / ซ่อมอู่","False",,,,,,,,"20707.71",,,"14450","35157.71","Yes","No","verified","Verified",,"342f2924-a865-4644-ab38-82daa56f21fc","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle","boss_excel_2026","21",,"Main insurance is Tokio Marine Safety Insurance (Thailand) PCL, Type 1, policy DW-70-69/008020, valid 30/07/2026–30/07/2027. Repair type: General Garage (ซ่อมอู่). Main policy excludes compulsory insurance (พ.ร.บ.).","2026-09-18T09:50:30.4791240+07:00","2026-09-21T16:41:25.9726250+07:00"
"d5f1a76c-0086-4e5e-a6fa-166c62760dec","4กข-98","4กข98","BMW 630d GT",,"2020","WBAJW62090BN81423",,"Passenger Car","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","726-0131-596","Type 1 / ชั้น 1","2026-03-02","2026-04-29","2027-04-29","active","1550000","Dealer repair / ซ่อมศูนย์บริการ","True","726-0133-445","2026-03-02","2026-04-29","2027-04-29",,,,"43493.36","645.21",,,"44138.57","Yes","Yes","verified","Verified",,,"No","No","No","No","No","No","No","C. Passenger/personal/company car","boss_excel_2026","31",,"Type 1 insurance with Aioi Bangkok Insurance Public Company Limited. Policy 726-0131-596 valid 29/04/2026–29/04/2027. Insured value 1,550,000 THB. Dealer repair (ซ่อมศูนย์บริการ). Main insurance total 43,493.36 THB. Separate compulsory insurance policy 726-0133-445 valid 29/04/2026–29/04/2027, total 645.21 THB. Vehicle tax, registration dates and Laos expiry not shown in supplied documents.","2026-09-18T09:50:30.4791240+07:00","2026-09-21T17:00:22.8227630+07:00"
"b9847050-101a-41e2-ba2c-9fc7680e5d7a","4ฒล-4565","4ฒล4565","TOYOTA Hilux Revo",,"2023","MROCC8CB900854020",,"Pickup","Sender","บริษัท นวกิจประกันภัย จำกัด (มหาชน)","The Navakij Insurance Public Company Limited","V11PJB-002-000 (NKD-VVJ3-26) (CBC) (1)","Class 1 / ประเภท 1","2026-03-10","2026-04-11","2027-04-11","active","470000","Dealer repair / ซ่อมศูนย์บริการ","True","W2BX0E-002-000 (NKD-VCZV-26)","2026-03-11","2026-04-11","2027-04-11","2023-04-27","2024-05-09",,"16748.71","967.28",,,"17715.99","Yes","Yes","verified","Verified",,,"No","No","No","No","No","No","No","D. Insurance-only fleet asset","boss_excel_2026","32",,"Main insurance and compulsory insurance documents verified. Main policy covers 11/04/2026 to 11/04/2027 with dealer repair / ซ่อมศูนย์บริการ. Compulsory policy covers the same period","2026-09-18T09:50:30.4791240+07:00","2026-09-21T16:28:38.4398210+07:00"
"87181d28-75a0-430e-b5df-0a7d363063f7","61-2835","612835","HINO",,"2013","FG8JRLA14275","SIX_WHEEL_TRUCK","6-Wheel Truck","Sender","ไอโออิ","Aioi Bangkok Insurance","726-0131-1124","Class 1","2026-05-05","2026-06-30","2027-06-30","active","913000","Garage repair / ซ่อมอู่","False","726-0133-785","2026-05-05","2026-06-30","2027-06-30",,,,"42790.37","2718.87",,,"45509.24","Yes","Yes","verified","Verified",,"5fcca8be-1fcc-41a0-b666-97c0b94aff03","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle","boss_excel_2026","10",,"Main Class 1 policy excludes พ.ร.บ. Separate compulsory insurance policy 726-0133-785 attached.","2026-09-18T09:50:30.4791240+07:00","2026-09-21T09:56:32.7646430+07:00"
"78f25f78-b86e-4361-8eab-2c5f8368dc66","61-2836","612836","HINO",,"2013","JC4001555",,"Other Commercial Vehicle","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","725-0131-980","Class 1 / ประเภท 1","2026-05-05","2026-06-30","2027-06-30","active","300000","ซ่อมอู่ / Garage repair","True","726-0133-786","2026-05-05","2026-06-30","2027-06-30",,,,"9779.8","645.21",,,"10425.01","Yes","Yes","verified","Verified",,,"No","No","No","No","No","No","No","D. Insurance-only fleet asset","boss_excel_2026","11",,,"2026-09-18T09:50:30.4791240+07:00","2026-09-21T09:55:38.3124960+07:00"
"fe37ccb0-9996-4ae4-b725-e67738f4cfc2","61-6672","616672","HINO",,"2014","FG8JRLA14590","SIX_PLUS_SIX_WHEELER","Other Commercial Vehicle","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","725-0131-2577","Class 1 / ประเภท 1","2025-10-17","2025-12-31","2026-12-31","active","700000","Garage repair / ซ่อมอู่",,,,,,,,,"34861.67",,,,"34861.67","Yes","No","verified","Verified",,"afa3fb51-640f-4d05-8109-ff08b91df1aa","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle","boss_excel_2026","15",,"Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided","2026-09-18T09:50:30.4791240+07:00","2026-09-21T10:08:28.7165090+07:00"
"eb5cc8bf-6f22-4b15-9d01-35f8277161e8","62-1085","621085","HINO",,"2014","FC9JLLA14289","SIX_WHEEL_TRUCK","6-Wheel Truck","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","725-0131-1804","Class 1 / ประเภท 1","2025-07-15","2025-09-26","2026-09-26","due_30","560000","Garage repair / ซ่อมอู่",,,,,,,,,"17817.64",,,,"17817.64","Yes","No","verified","Verified",,"f4eefa2e-d5a0-4bbd-8085-12edcbdc49d8","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle","boss_excel_2026","26",,"Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided","2026-09-18T09:50:30.4791240+07:00","2026-09-21T10:30:35.5111250+07:00"
"14893f62-e1c5-4dc9-85b9-5529673456b4","62-4337","624337","HINO",,"2015","FG8JRLA15155","SIX_WHEEL_TRUCK","6-Wheel Truck","Sender","บริษัท วิริยะประกันภัย จำกัด (มหาชน)","The Viriyah Insurance Public Company Limited","04580-69112/กธ/016198-10","Class 1 / ประเภท 1","2026-03-17","2026-03-25","2027-03-25","active","820000","Garage repair / ซ่อมอู่",,,,,,,,,"27500.01",,,,"27500.01","Yes","No","verified","Verified",,"f5865c60-1bb3-44b2-ad32-d36fc72694fd","Yes","Yes","Yes","Yes","No","No","Yes","A. Operational fleet vehicle","boss_excel_2026","19",,"Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided","2026-09-18T09:50:30.4791240+07:00","2026-09-21T10:38:41.7226670+07:00"
"181fc251-ef1c-4227-8dea-9a30633cfa39","63-0096","630096","พ่วง / Trailer",,"2011","SSK1000209",,"Trailer","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","726-0131-95","Class 1 / ประเภท 1","2026-01-13","2026-03-01","2027-03-01","active","263000","Garage repair / ซ่อมอู่",,,,,,,,,"10594.07",,,,"10594.07","Yes","No","verified","Verified",,,"No","No","No","No","No","No","No","B. Trailer / non-driver asset","boss_excel_2026","16",,"Main insurance policy does not include compulsory insurance (พ.ร.บ.). No compulsory insurance document was provided","2026-09-18T09:50:30.4791240+07:00","2026-09-21T10:25:14.6633270+07:00"
"4699bd8a-26f8-488c-a0e2-68ce904938ad","63-3543","633543","HINO",,"1997","FN274B20195","EIGHTEEN_WHEELER","Other Commercial Vehicle","Sender","บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน)","Aioi Bangkok Insurance Public Company Limited","725-0131-2475","Class 3 / ประเภท 3","2025-10-17","2025-11-27","2026-11-27","due_90",,,"False",,,,,,,,"10045.16",,,,"10045.16","Yes","No","verified","Verified",,"6d5f9f85-454a-438b-a277-cdbd642e495b","Yes","Yes","Yes","Yes","Yes","No","Yes","A. Operational fleet vehicle","boss_excel_2026","20","Registration date is blank.","Class 3 main insurance policy. Compulsory insurance (พ.ร.บ.) is not included and no compulsory insurance document was provided. Insured value and repair type are not stated/applicable on the supplied Class 3 policy.","2026-09-18T09:50:30.4791240+07:00","2026-09-21T12:53:46.1066730+07:00"
