"record_id","registration","verified_status","verified_at","verified_by","policy_number","insurance_class","insurance_expiry","insurance_status","insured_value","repair_type","main_document_status","compulsory_document_status","compulsory_expiry","missing_fields","detected_discrepancies","baseline_updated_at"
"5428b1a4-abf3-4ba1-afaa-269bffd5da19","3ฒน-9565","verified","2026-09-21T16:41:28.9790000+07:00",,"DW-70-69/008020","Type 1 / ชั้น 1","2027-07-30","active",,"Garage / ซ่อมอู่","Present and resolves","Not recorded as included",,"insured_value","verified_by is NULL","2026-09-21T16:41:25.9726250+07:00"
"d5f1a76c-0086-4e5e-a6fa-166c62760dec","4กข-98","verified","2026-09-21T17:00:28.1890000+07:00",,"726-0131-596","Type 1 / ชั้น 1","2027-04-29","active","1550000","Dealer repair / ซ่อมศูนย์บริการ","Present and resolves","Present and resolves","2027-04-29","","verified_by is NULL","2026-09-21T17:00:22.8227630+07:00"
"b9847050-101a-41e2-ba2c-9fc7680e5d7a","4ฒล-4565","verified","2026-09-21T16:28:41.4500000+07:00",,"V11PJB-002-000 (NKD-VVJ3-26) (CBC) (1)","Class 1 / ประเภท 1","2027-04-11","active","470000","Dealer repair / ซ่อมศูนย์บริการ","Present and resolves","Present and resolves","2027-04-11","","verified_by is NULL; recorded registration expiry is past","2026-09-21T16:28:38.4398210+07:00"
"87181d28-75a0-430e-b5df-0a7d363063f7","61-2835","verified","2026-09-21T09:56:36.4080000+07:00",,"726-0131-1124","Class 1","2027-06-30","active","913000","Garage repair / ซ่อมอู่","Present and resolves","Present and resolves","2027-06-30","","verified_by is NULL; compulsory_included is false but a compulsory policy is recorded","2026-09-21T09:56:32.7646430+07:00"
"78f25f78-b86e-4361-8eab-2c5f8368dc66","61-2836","verified","2026-09-21T09:55:41.8700000+07:00",,"725-0131-980","Class 1 / ประเภท 1","2027-06-30","active","300000","ซ่อมอู่ / Garage repair","Present and resolves","Present and resolves","2027-06-30","","verified_by is NULL","2026-09-21T09:55:38.3124960+07:00"
"fe37ccb0-9996-4ae4-b725-e67738f4cfc2","61-6672","verified","2026-09-21T10:08:31.5840000+07:00",,"725-0131-2577","Class 1 / ประเภท 1","2026-12-31","active","700000","Garage repair / ซ่อมอู่","Present and resolves","Missing or not supplied",,"","verified_by is NULL","2026-09-21T10:08:28.7165090+07:00"
"eb5cc8bf-6f22-4b15-9d01-35f8277161e8","62-1085","verified","2026-09-21T10:30:39.0950000+07:00",,"725-0131-1804","Class 1 / ประเภท 1","2026-09-26","due_30","560000","Garage repair / ซ่อมอู่","Present and resolves","Missing or not supplied",,"","verified_by is NULL","2026-09-21T10:30:35.5111250+07:00"
"14893f62-e1c5-4dc9-85b9-5529673456b4","62-4337","verified","2026-09-21T10:38:45.1080000+07:00",,"04580-69112/กธ/016198-10","Class 1 / ประเภท 1","2027-03-25","active","820000","Garage repair / ซ่อมอู่","Present and resolves","Missing or not supplied",,"","verified_by is NULL","2026-09-21T10:38:41.7226670+07:00"
"181fc251-ef1c-4227-8dea-9a30633cfa39","63-0096","verified","2026-09-21T10:25:18.2190000+07:00",,"726-0131-95","Class 1 / ประเภท 1","2027-03-01","active","263000","Garage repair / ซ่อมอู่","Present and resolves","Missing or not supplied",,"","verified_by is NULL","2026-09-21T10:25:14.6633270+07:00"
"4699bd8a-26f8-488c-a0e2-68ce904938ad","63-3543","verified","2026-09-21T12:53:49.3000000+07:00",,"725-0131-2475","Class 3 / ประเภท 3","2026-11-27","due_90",,,"Present and resolves","Not recorded as included",,"insured_value; repair_type","verified_by is NULL","2026-09-21T12:53:46.1066730+07:00"
"894d763f-18eb-47d2-9c61-26e34ac1bc33","64-0359","verified","2026-09-21T11:27:14.5420000+07:00",,"726-0131-1133","Class 1 / ประเภท 1","2027-06-30","active","1013000","Garage repair / ซ่อมอู่","Present and resolves","Present and resolves","2027-06-30","","verified_by is NULL","2026-09-21T11:27:11.0662550+07:00"
"f59d2336-7aad-47a2-9e14-f87e952a1c6c","64-5954","verified","2026-09-21T11:35:20.2350000+07:00",,"04580-69112/กธ/032259-10","Class 1 / ประเภท 1","2027-07-09","active","770000","Garage repair / ซ่อมอู่","Present and resolves","Present and resolves","2027-06-30","","verified_by is NULL","2026-09-21T11:35:16.7847700+07:00"
"e7659135-2137-4f6b-af94-fde20dbf0159","64-5956","verified","2026-09-21T11:45:13.3400000+07:00",,"04580-69112/กธ/032255-10","Class 1 / ประเภท 1","2027-07-09","active","770000","Garage repair / ซ่อมอู่","Present and resolves","Present and resolves","2027-06-30","","verified_by is NULL","2026-09-21T11:45:09.9185410+07:00"
"231b1315-1d96-434b-9ee4-1c7c59a49eb2","64-8665","verified","2026-09-21T11:50:41.9230000+07:00",,"04580-68112/กธ/046852-10","Class 1 / ประเภท 1","2026-12-15","due_90","1150000",,"Present and resolves","Not recorded as included",,"repair_type","verified_by is NULL","2026-09-21T11:50:38.6221060+07:00"
"8c944d1e-6828-4d40-8f94-bc3cb2d7f341","65-6919","verified","2026-09-21T11:57:10.1580000+07:00",,"726-0131-94","Class 1 / ประเภท 1","2027-03-17","active","250000","Garage repair / ซ่อมอู่","Present and resolves","Not recorded as included",,"","verified_by is NULL","2026-09-21T11:57:06.7688750+07:00"
"320d62c9-b598-49ec-bc9e-1c707bc7e4f7","65-6991","verified","2026-09-21T12:11:43.6010000+07:00",,"726-0131-97","Class 1 / ประเภท 1","2027-03-17","active","238000","Garage repair / ซ่อมอู่","Present and resolves","Present and resolves","2027-03-31","","verified_by is NULL","2026-09-21T12:11:40.2103140+07:00"
"8e6e762a-cec5-4d4b-bc1b-5ae97afda5f8","68-7154","verified","2026-09-21T10:46:26.9570000+07:00",,"04580-68112/กธ/044205-10","Class 1 / ประเภท 1","2026-12-15","due_90","1500000",,"Present and resolves","Missing or not supplied",,"repair_type","verified_by is NULL","2026-09-21T10:46:23.5444840+07:00"
"8e8995b2-099c-41d6-9800-637a193048e3","6กค-782","verified","2026-09-21T13:21:26.1980000+07:00",,"V1ZIHI-003-000 (NKD-VVJ1-26) (CBC) (1)","Class 1 / ประเภท 1","2027-05-09","active","360000","Garage repair / ซ่อมอู่","Present and resolves","Not recorded as included",,"","verified_by is NULL","2026-09-21T13:21:22.9223810+07:00"
"710eb2f1-08db-4819-ba05-51bd987ff481","700-4145","verified","2026-09-21T12:47:07.6900000+07:00",,"725-0131-2476","Class 1 / ประเภท 1","2026-11-20","due_60","1300000",,"Present and resolves","Not recorded as included",,"repair_type","verified_by is NULL","2026-09-21T12:47:04.3860840+07:00"
"8fd4f71d-63f7-4a4f-85e6-3b5495d1de64","701-5145","verified","2026-09-21T11:17:24.4620000+07:00",,"726-0131-1593",,"2027-03-31","active","1780000",,"Present and resolves","Present and resolves","2027-03-31","insurance_class; repair_type; insurance_premium","verified_by is NULL","2026-09-21T11:17:21.0346220+07:00"
"3dcff5e7-b1d9-4e2d-817e-e28be13ce350","74-8969","verified","2026-09-21T12:38:31.2520000+07:00",,"725-0131-2126","Class 3 / ประเภท 3","2026-09-30","due_30",,,"Present and resolves","Not recorded as included",,"insured_value; repair_type","verified_by is NULL","2026-09-21T12:38:27.9050630+07:00"
"fce76849-c36b-485c-9f68-f217eb7a43dc","78-6996","verified","2026-09-21T12:34:27.8160000+07:00",,"725-0131-2493","Class 1 / ประเภท 1","2026-11-09","due_60","380000",,"Present and resolves","Not recorded as included",,"repair_type","verified_by is NULL","2026-09-21T12:34:24.4480840+07:00"
"38330b8f-3092-41ab-97f4-d567e542ae71","79-2945","verified","2026-09-21T12:17:52.6970000+07:00",,"725-0131-2576","Class 1 / ประเภท 1","2026-12-28","active","550000",,"Present and resolves","Not recorded as included",,"repair_type","verified_by is NULL","2026-09-21T12:17:49.3256390+07:00"
"bffcfab3-0d49-47bb-bc41-d2bce6c2a87b","79-5318","verified","2026-09-21T12:59:57.6850000+07:00",,"726-0131-48","Class 1 / ประเภท 1","2027-02-14","active","663000","Garage repair / ซ่อมอู่","Present and resolves","Not recorded as included",,"","verified_by is NULL","2026-09-21T12:59:54.3541140+07:00"
"a39444f7-8cd9-445f-a5bf-194bba476129","ญค-280","verified","2026-09-21T13:13:14.3000000+07:00",,"04580-69112/กธ/W08480-10","Class 1","2027-05-13","active","350000","Garage repair / ซ่อมอู่","Present and resolves","Not recorded as included",,"","verified_by is NULL","2026-09-21T13:13:10.9842900+07:00"
"e56bfebe-a5a6-4a33-b3ac-f59a509c5c00","ญม3824","verified","2026-09-21T13:41:47.0060000+07:00",,"725-0131-1645",,"2026-08-28","expired","200000",,"Present and resolves","Present and resolves","2026-08-28","insurance_class; repair_type","verified_by is NULL; main insurance is expired","2026-09-21T13:41:43.7971080+07:00"
"8a255e2b-41aa-494d-a34f-b31184bb9211","ฒอ8453","verified","2026-09-21T13:05:43.9410000+07:00",,"726-0131-1659","Class 1 / ประเภท 1","2027-08-08","active","238000","Garage repair / ซ่อมอู่","Present and resolves","Present and resolves","2027-08-08","","verified_by is NULL","2026-09-21T13:05:40.6464640+07:00"
