Month,Excel Registration,Canonical App Registration,Vehicle Match?,Excel Fuel,Fuel Spend Report Fuel,Vehicle Performance Fuel,Difference,Status
1,3ฒน-9565,9565,Yes,21400.10,21900.10,21900.10,500.00,Fuel mismatch
1,3ฒล-4565,4565,Yes,10440.00,10440.00,10440.00,0.00,Ready
1,61-2835,61-2835,Yes,44577.55,44527.65,44527.65,-49.90,Fuel mismatch
1,61-6672,61-6672,Yes,45370.00,45370.00,45370.00,0.00,Ready
1,62-1085,62-1085,Yes,40461.60,38461.60,38461.60,-2000.00,Fuel mismatch
1,62-4337,62-4337,Yes,45190.00,45190.00,45190.00,0.00,Ready
1,63-3543,63-3543,Yes,48020.00,48000.00,48000.00,-20.00,Fuel mismatch
1,64-0359,64-0359,Yes,25680.00,29560.00,29560.00,3880.00,Fuel mismatch
1,64-5954,64-5954,Yes,41450.00,44950.00,44950.00,3500.00,Fuel mismatch
1,64-5956,64-5956,Yes,31200.00,31200.00,31200.00,0.00,Ready
1,64-8665,64-8665,Yes,53060.00,53060.00,53060.00,0.00,Ready
1,68-7154,68-7154,Yes,52080.00,52080.00,52080.00,0.00,Ready
1,700-4145,700-4145,Yes,56390.00,56389.98,56389.98,-0.02,Ready
1,700-6659,700-6659,Yes,43530.00,43530.00,43530.00,0.00,Ready
1,701-1654,701-1654,Yes,54714.20,54714.20,54714.20,0.00,Ready
1,74-8969,74-8969,Yes,26690.00,26690.00,26690.00,0.00,Ready
1,78-6996,78-6996,Yes,50517.40,50517.40,50517.40,0.00,Ready
1,79-2945,79-2945,Yes,41935.10,41935.10,41935.10,0.00,Ready
1,79-5318,79-5318,Yes,0.00,0.00,0.00,0.00,Ready
1,ฒอ-8453,8453,Yes,4210.00,4210.00,4210.00,0.00,Ready
2,3ฒน-9565,9565,Yes,24710.10,24720.10,24720.10,10.00,Fuel mismatch
2,3ฒล-4565,4565,Yes,13834.80,13839.80,13839.80,5.00,Fuel mismatch
2,61-2835,61-2835,Yes,52960.00,52960.00,52960.00,0.00,Ready
2,61-6672,61-6672,Yes,34250.00,34250.00,34250.00,0.00,Ready
2,62-1085,62-1085,Yes,55160.50,57240.50,57240.50,2080.00,Fuel mismatch
2,62-4337,62-4337,Yes,33540.00,33540.00,33540.00,0.00,Ready
2,63-3543,63-3543,Yes,43600.00,43600.00,43600.00,0.00,Ready
2,64-0359,64-0359,Yes,28780.00,24900.00,24900.00,-3880.00,Fuel mismatch
2,64-5954,64-5954,Yes,47350.00,42350.00,42350.00,-5000.00,Fuel mismatch
2,64-5956,64-5956,Yes,56090.00,56090.00,56090.00,0.00,Ready
2,64-8665,64-8665,Yes,65840.00,65840.00,65840.00,0.00,Ready
2,68-7154,68-7154,Yes,42220.00,42220.00,42220.00,0.00,Ready
2,700-4145,700-4145,Yes,44320.00,44320.00,44320.00,0.00,Ready
2,700-6659,700-6659,Yes,50660.00,50660.00,50660.00,0.00,Ready
2,701-1654,701-1654,Yes,42440.30,42440.30,42440.30,0.00,Ready
2,74-8969,74-8969,Yes,28110.00,28110.00,28110.00,0.00,Ready
2,78-6996,78-6996,Yes,44675.80,53905.80,53905.80,9230.00,Fuel mismatch
2,79-2945,79-2945,Yes,33000.00,33000.00,33000.00,0.00,Ready
2,79-5318,79-5318,Yes,2000.00,2000.00,2000.00,0.00,Ready
2,ฒอ-8453,8453,Yes,21130.00,2130.00,2130.00,-19000.00,Fuel mismatch
3,3ฒน-9565,9565,Yes,25300.10,25300.10,25300.10,0.00,Ready
3,3ฒล-4565,4565,Yes,13620.80,13620.80,13620.80,0.00,Ready
3,61-2835,61-2835,Yes,44190.20,44190.20,44190.20,0.00,Ready
3,61-6672,61-6672,Yes,82310.20,82320.20,82320.20,10.00,Fuel mismatch
